base_paper_id,no_abstract,no_conclusion,no_experiments,no_introduction,no_methods
07xuZw59uB,-0.5,-1.0,0.0,0.0,-0.5
3rmpixOjPS,-0.5,0.0,0.0,0.0,-1.5
BI1N3lTWtn,-0.5,-0.25,-1.25,-1.0,0.0
BkRD6GsswM,0.0,0.0,0.0,-1.5,-1.5
CpgoO6j6W1,0.0,0.0,-0.5,-2.0,0.0
G3LOFL4jGp,0.0,-0.5,0.0,-0.5,-0.5
GSBHKiw19c,-0.75,0.0,-0.75,-1.5,-1.0
Koh0i2u8qX,-0.25,-0.25,-2.25,-1.75,-2.25
Mqukp3Lsnt,-1.5,0.0,-1.5,-1.5,-1.0
QGR5IeMNDF,-1.0,-1.0,0.0,-0.75,-0.5
QMkYEau02q,-2.0,-3.5,-3.5,-2.5,-2.0
RUKTunGWJe,-1.5,-1.5,-1.5,-0.5,-1.5
TKnzPdyeJu,-1.0,-1.5,-2.0,-2.0,-3.0
WNSjteBJd9,0.0,0.0,-0.5,-0.5,-0.5
ZMjflI1aL0,-2.0,-0.25,-0.5,-2.0,0.0
b3kDP3IytM,-1.0,0.0,-3.0,-1.25,-1.0
bO1UP57GAw,-0.75,-0.25,-2.25,-2.25,-0.75
bRm0rul3SZ,-0.75,0.0,0.0,-0.5,-0.5
bTMMNT7IdW,-0.5,-0.5,-0.5,-0.25,-1.5
dumkzmqTmS,0.0,-2.0,0.0,0.0,0.0
eSr9iK1z8n,0.0,0.0,0.0,0.0,-1.5
fLWqIWPMDH,0.0,0.0,-0.5,-2.0,-2.0
huwR9N2ea0,0.0,-0.25,0.0,0.0,-0.5
n7Sr8SW4bn,0.0,-1.5,-0.5,-1.5,-1.5
rR03qFesqk,-0.75,0.0,-0.75,-0.75,0.0
s1ByDEbpI8,0.0,-0.75,-3.0,-1.5,-0.75
t8cBsT9mcg,-0.75,-0.5,-1.5,-2.0,-2.0
wRkfniZIBl,-0.25,-0.5,0.0,-1.25,-1.75
zIJFG7wW2d,-0.75,0.0,-2.75,-1.25,-1.25
