base_paper_id,variant_type,orig_decision,variant_decision,rating
1JbsdayvhO,no_abstract,Reject,Accept,6.0
1JbsdayvhO,no_introduction,Reject,Accept,6.0
1JbsdayvhO,no_conclusion,Reject,Accept,6.0
3rmpixOjPS,no_introduction,Reject,Accept,5.0
468KWV14ll,no_abstract,Reject,Accept,6.0
4JtwtT4nYC,no_abstract,Reject,Accept,4.5
4JtwtT4nYC,no_conclusion,Reject,Accept,4.75
59nCKifDtm,no_conclusion,Reject,Accept,6.0
7VVGO0kuuY,no_introduction,Reject,Accept,6.0
9w3iw8wDuE,no_abstract,Reject,Accept,6.0
9w3iw8wDuE,no_introduction,Reject,Accept,4.5
Cc0qk6r4Nd,no_abstract,Reject,Accept,6.0
Cc0qk6r4Nd,no_methods,Reject,Accept,4.25
CpgoO6j6W1,no_methods,Reject,Accept,5.0
DwcV654WBP,no_introduction,Reject,Accept,6.0
FKg1N2fAFG,no_conclusion,Reject,Accept,6.0
FKg1N2fAFG,no_experiments,Reject,Accept,3.0
FRCHDhbxZF,no_abstract,Reject,Accept,5.75
FRCHDhbxZF,no_experiments,Reject,Accept,5.0
FRCHDhbxZF,no_methods,Reject,Accept,6.0
HKGQDDTuvZ,no_introduction,Reject,Accept,4.5
Hk7yW3vmSq,no_abstract,Reject,Accept,4.25
JlSyXwCEIQ,no_methods,Reject,Accept,6.0
KksPo0zXId,no_introduction,Reject,Accept,5.0
KksPo0zXId,no_experiments,Reject,Accept,4.5
KzMMv0OygD,no_abstract,Reject,Accept,6.0
M8J0b9gNfG,no_introduction,Reject,Accept,6.0
NSVtmmzeRB,no_experiments,Reject,Accept,6.0
NSVtmmzeRB,no_methods,Reject,Accept,6.0
PCm1oT8pZI,no_conclusion,Reject,Accept,5.5
QO3yH7X8JJ,no_conclusion,Reject,Accept,6.0
UbxWjq0UO2,no_conclusion,Reject,Accept,5.25
UbxWjq0UO2,no_experiments,Reject,Accept,5.25
YhwDw31DGI,no_abstract,Reject,Accept,4.5
bAXmvOLtjA,no_abstract,Reject,Accept,6.0
bRm0rul3SZ,no_abstract,Reject,Accept,5.0
fGXyvmWpw6,no_experiments,Reject,Accept,6.0
huwR9N2ea0,no_introduction,Reject,Accept,5.0
huwR9N2ea0,no_methods,Reject,Accept,4.5
qoHeuRAcSl,no_conclusion,Reject,Accept,6.0
s9bCeJGUJi,no_introduction,Reject,Accept,4.0
wDE3clrYWR,no_methods,Reject,Accept,6.0
y8dHnNEcJu,no_methods,Reject,Accept,5.0
yJdj2QQCUB,no_conclusion,Reject,Accept,6.0
zIJFG7wW2d,no_methods,Reject,Accept,4.5
zgHamUBuuO,no_methods,Reject,Accept,6.0
zmJDzPh1Dm,no_methods,Reject,Accept,5.0
