base_paper_id,no_abstract,no_introduction,no_methods,no_conclusion,no_experiments
GSBHKiw19c,-0.75,-1.5,-1.0,0.0,-0.75
HKGQDDTuvZ,-0.5,-0.5,-0.5,-0.25,-1.0
Koh0i2u8qX,-0.25,-1.75,-2.25,-0.25,-2.25
Mqukp3Lsnt,-1.5,-1.5,-1.0,0.0,-1.5
QMkYEau02q,-2.0,-2.5,-2.0,-3.5,-3.5
RUKTunGWJe,-1.5,-0.5,-1.5,-1.5,-1.5
TKnzPdyeJu,-1.0,-2.0,-3.0,-1.5,-2.0
WNSjteBJd9,0.0,-0.5,-0.5,0.0,-0.5
b3kDP3IytM,-1.0,-1.25,-1.0,0.0,-3.0
bCvm9h0FmQ,-0.25,-1.25,-0.25,-0.25,-0.75
bO1UP57GAw,-0.75,-2.25,-0.75,-0.25,-2.25
bTMMNT7IdW,-0.5,-0.25,-1.5,-0.5,-0.5
fLWqIWPMDH,0.0,-2.0,-2.0,0.0,-0.5
n7Sr8SW4bn,0.0,-1.5,-1.5,-1.5,-0.5
s1ByDEbpI8,0.0,-1.5,-0.75,-0.75,-3.0
t8cBsT9mcg,-0.75,-2.0,-2.0,-0.5,-1.5
zIJFG7wW2d,-0.75,-1.25,-1.25,0.0,-2.75
